,Model,DataSet,Metrics,Value
0,K-nearest neighbors (KNN),DS1,accuracy,0.795
1,K-nearest neighbors (KNN),DS2,accuracy,0.764
2,K-nearest neighbors (KNN),DS3,accuracy,0.768
3,K-nearest neighbors (KNN),DS4,accuracy,0.771
4,K-nearest neighbors (KNN),DS1,precision,0.993
5,K-nearest neighbors (KNN),DS2,precision,0.998
6,K-nearest neighbors (KNN),DS3,precision,0.995
7,K-nearest neighbors (KNN),DS4,precision,1.0
8,K-nearest neighbors (KNN),DS1,recall,0.671
9,K-nearest neighbors (KNN),DS2,recall,0.641
10,K-nearest neighbors (KNN),DS3,recall,0.651
11,K-nearest neighbors (KNN),DS4,recall,0.647
12,K-nearest neighbors (KNN),DS1,f1,0.795
13,K-nearest neighbors (KNN),DS2,f1,0.763
14,K-nearest neighbors (KNN),DS3,f1,0.766
15,K-nearest neighbors (KNN),DS4,f1,0.77
16,Logistic regression (LR),DS1,accuracy,0.912
17,Logistic regression (LR),DS2,accuracy,0.894
18,Logistic regression (LR),DS3,accuracy,0.898
19,Logistic regression (LR),DS4,accuracy,0.894
20,Logistic regression (LR),DS1,precision,0.969
21,Logistic regression (LR),DS2,precision,0.976
22,Logistic regression (LR),DS3,precision,0.977
23,Logistic regression (LR),DS4,precision,0.986
24,Logistic regression (LR),DS1,recall,0.843
25,Logistic regression (LR),DS2,recall,0.811
26,Logistic regression (LR),DS3,recall,0.821
27,Logistic regression (LR),DS4,recall,0.805
28,Logistic regression (LR),DS1,f1,0.911
29,Logistic regression (LR),DS2,f1,0.893
30,Logistic regression (LR),DS3,f1,0.898
31,Logistic regression (LR),DS4,f1,0.894
32,Linear SVM (LSVM),DS1,accuracy,0.909
33,Linear SVM (LSVM),DS2,accuracy,0.892
34,Linear SVM (LSVM),DS3,accuracy,0.9
35,Linear SVM (LSVM),DS4,accuracy,0.892
36,Linear SVM (LSVM),DS1,precision,0.978
37,Linear SVM (LSVM),DS2,precision,0.986
38,Linear SVM (LSVM),DS3,precision,0.993
39,Linear SVM (LSVM),DS4,precision,0.995
40,Linear SVM (LSVM),DS1,recall,0.832
41,Linear SVM (LSVM),DS2,recall,0.803
42,Linear SVM (LSVM),DS3,recall,0.815
43,Linear SVM (LSVM),DS4,recall,0.797
44,Linear SVM (LSVM),DS1,f1,0.908
45,Linear SVM (LSVM),DS2,f1,0.892
46,Linear SVM (LSVM),DS3,f1,0.9
47,Linear SVM (LSVM),DS4,f1,0.892
48,Random forest (RF),DS1,accuracy,0.916
49,Random forest (RF),DS2,accuracy,0.897
50,Random forest (RF),DS3,accuracy,0.901
51,Random forest (RF),DS4,accuracy,0.894
52,Random forest (RF),DS1,precision,0.988
